# Temperature (eV), Z (dirichlet), Z (Neumann), Z (bands)
 10.0000,  3.0486,  2.9132,  2.9229
 11.0000,  3.0429,  2.9389,  2.9367
 12.0000,  3.0558,  2.9728,  2.9570
 13.0000,  3.0740,  3.0211,  2.9938
 14.0000,  3.0974,  3.0759,  3.0275
 15.0000,  3.1403,  3.1358,  3.0764
 16.0000,  3.1741,  3.2069,  3.1307
 17.0000,  3.2263,  3.2812,  3.1890
 18.0000,  3.2682,  3.3653,  3.2607
 19.0000,  3.3274,  3.4514,  3.3250
 20.0000,  3.3893,  3.5314,  3.4014
 21.0000,  3.4532,  3.6172,  3.4795
 22.0000,  3.5188,  3.7063,  3.5486
 23.0000,  3.5857,  3.7964,  3.6287
 24.0000,  3.6537,  3.8789,  3.7096
 25.0000,  3.7224,  3.9699,  3.7909
 26.0000,  3.8058,  4.0612,  3.8621
 27.0000,  3.8756,  4.1441,  3.9439
 28.0000,  3.9455,  4.2354,  4.0258
 29.0000,  4.0156,  4.3180,  4.1077
 30.0000,  4.0999,  4.4001,  4.1894
 31.0000,  4.1699,  4.4821,  4.2602
 32.0000,  4.2399,  4.5638,  4.3268
 33.0000,  4.3239,  4.6449,  4.4071
 34.0000,  4.3935,  4.7257,  4.4764
 35.0000,  4.4628,  4.8060,  4.5564
