# Temperature (eV), N total, Z (dirichlet)
 10.0000, 12.9774,  3.3373
 11.0000, 12.9774,  3.3531
 12.0000, 12.9774,  3.3747
 13.0000, 12.9774,  3.4035
 14.0000, 12.9774,  3.4403
 15.0000, 12.9774,  3.4852
 16.0000, 12.9774,  3.5376
 17.0000, 12.9774,  3.5969
 18.0000, 12.9774,  3.6621
 19.0000, 12.9774,  3.7322
 20.0000, 12.9774,  3.8063
 21.0000, 12.9774,  3.8837
 22.0000, 12.9774,  3.9635
 23.0000, 12.9774,  4.0453
 24.0000, 12.9774,  4.1285
 25.0000, 12.9774,  4.2128
 26.0000, 12.9774,  4.2976
 27.0000, 12.9774,  4.3829
 28.0000, 12.9774,  4.4683
 29.0000, 12.9774,  4.5536
 30.0000, 12.9774,  4.6387
 31.0000, 12.9774,  4.7234
 32.0000, 12.9774,  4.8077
 33.0000, 12.9774,  4.8913
 34.0000, 12.9774,  4.9744
 35.0000, 12.9774,  5.0567
