# Temperature (eV), Z (dirichlet), Z (Neumann), Z (bands)
 10.0000,  3.0120,  2.4295,  2.9081
 11.0000,  3.0241,  2.5092,  2.9381
 12.0000,  3.0427,  2.5932,  2.9600
 13.0000,  3.0690,  2.6822,  3.0077
 14.0000,  3.1034,  2.7758,  3.0637
 15.0000,  3.1459,  2.8731,  3.1134
 16.0000,  3.1960,  2.9732,  3.1839
 17.0000,  3.2528,  3.0754,  3.2468
 18.0000,  3.3154,  3.1788,  3.3271
 19.0000,  3.3828,  3.2829,  3.3985
 20.0000,  3.4542,  3.3872,  3.4728
 21.0000,  3.5288,  3.4914,  3.5609
 22.0000,  3.6058,  3.5952,  3.6389
 23.0000,  3.6847,  3.6983,  3.7180
 24.0000,  3.7650,  3.8006,  3.7980
 25.0000,  3.8463,  3.9019,  3.8889
 26.0000,  3.9283,  4.0022,  3.9694
 27.0000,  4.0107,  4.1014,  4.0499
 28.0000,  4.0933,  4.1995,  4.1303
 29.0000,  4.1758,  4.2963,  4.2104
 30.0000,  4.2582,  4.3919,  4.2901
 31.0000,  4.3403,  4.4863,  4.3603
 32.0000,  4.4219,  3.8653,  4.4393
 33.0000,  4.5031,  3.9676,  4.5177
 34.0000,  4.5837,  4.0682,  4.5883
 35.0000,  4.6637,  4.1672,  4.6656
