# Temperature (eV), Z (dirichlet), Z (Neumann), Z (bands)
 10.0000,  3.0120,  3.0468,  2.9771
 11.0000,  3.0241,  3.0822,  3.0444
 12.0000,  3.0427,  3.1294,  3.0746
 13.0000,  3.0690,  3.1876,  3.1145
 14.0000,  3.1034,  3.2551,  3.1639
 15.0000,  3.1459,  3.3300,  3.2217
 16.0000,  3.1960,  3.4107,  3.2866
 17.0000,  3.2528,  3.4958,  3.3573
 18.0000,  3.3154,  3.5839,  3.4327
 19.0000,  3.3828,  3.6744,  3.5117
 20.0000,  3.4542,  3.7663,  3.5934
 21.0000,  3.5288,  3.8591,  3.6772
 22.0000,  3.6058,  3.9525,  3.7624
 23.0000,  3.6847,  4.0460,  3.8485
 24.0000,  3.7650,  4.1393,  3.9353
 25.0000,  3.8463,  4.2324,  4.0224
 26.0000,  3.9283,  4.3249,  4.1095
 27.0000,  4.0107,  4.4168,  4.1964
 28.0000,  4.0933,  4.5080,  4.2830
 29.0000,  4.1758,  4.5983,  4.3692
 30.0000,  4.2582,  4.6878,  4.4549
 31.0000,  4.3403,  4.7763,  4.5399
 32.0000,  4.4219,  4.8639,  4.6242
 33.0000,  4.5031,  4.9505,  4.7077
 34.0000,  4.5837,  5.0360,  4.7905
 35.0000,  4.6637,  5.1206,  4.8725
