# Temperature (eV), E_K (Dirichlet), E_K (Neumann), E_K (bands)
     0.0100,  1559.6000,  1559.6000,  1559.6000
     5.0000,  1559.2313,  1559.4072,  1558.8533
    10.0000,  1560.7865,  1561.3174,  1559.9087
    15.0000,  1564.8815,  1569.0478,  1565.2498
    20.0000,  1573.0618,  1581.2396,  1575.2531
    25.0000,  1583.6576,  1594.9542,  1587.3471
    30.0000,  1595.3116,  1609.0770,  1600.1993
    35.0000,  1607.3679,  1623.1683,  1613.2485
    40.0000,  1619.5066,  1637.0197,  1626.2241
    45.0000,  1631.5504,  1650.5161,  1638.9782
    50.0000,  1643.3909,  1663.5915,  1651.4243
    55.0000,  1654.9623,  1676.1961,  1663.4994
    60.0000,  1666.2149,  1688.3052,  1675.1685
    65.0000,  1677.1193,  1699.9061,  1686.4070
    70.0000,  1687.6628,  1710.9807,  1697.2060
    75.0000,  1697.8167,  1721.5301,  1707.5453
    80.0000,  1707.5796,  1731.5555,  1717.4282
    85.0000,  1716.9474,  1741.0695,  1726.8560
    90.0000,  1725.9195,  1750.0656,  1735.8336
    95.0000,  1734.4976,  1758.5617,  1744.3683
   100.0000,  1742.6864,  1766.5711,  1752.4694
