# Temperature (eV), Z (Dirichlet), Z (Neumann), Z (bands)
  0.0100,  3.1005,  2.7998,  2.8669
  5.0000,  3.0726,  2.8966,  2.9214
 10.0000,  3.0486,  2.9132,  2.9229
 15.0000,  3.1403,  3.1358,  3.0764
 20.0000,  3.3893,  3.5314,  3.4014
 25.0000,  3.7224,  3.9699,  3.7909
 30.0000,  4.0999,  4.4001,  4.1894
 35.0000,  4.4628,  4.8060,  4.5564
 40.0000,  4.8185,  5.0915,  4.9174
 45.0000,  5.1639,  5.4345,  5.2657
 50.0000,  5.4835,  5.7621,  5.5893
 55.0000,  5.7907,  6.0546,  5.8995
 60.0000,  6.0854,  6.3426,  6.1845
 65.0000,  6.3542,  6.6055,  6.4557
 70.0000,  6.6107,  6.8451,  6.7029
 75.0000,  6.8554,  7.0805,  6.9379
 80.0000,  7.0885,  7.2933,  7.1604
 85.0000,  7.2980,  7.4935,  7.3704
 90.0000,  7.5090,  7.6737,  7.5693
 95.0000,  7.6976,  7.8505,  7.7474
100.0000,  7.8766,  8.0088,  7.9153
