# Temperature (eV), Z (Dirichlet), Z (Neumann), Z (bands)
  0.0100,  3.0000,  3.0000,  3.0000
  5.0000,  3.0000,  3.0001,  3.0000
 10.0000,  3.0120,  3.0468,  3.0236
 15.0000,  3.1459,  3.3300,  3.2217
 20.0000,  3.4542,  3.7663,  3.5934
 25.0000,  3.8463,  4.2324,  4.0224
 30.0000,  4.2582,  4.6878,  4.4549
 35.0000,  4.6637,  5.1206,  4.8725
 40.0000,  5.0527,  5.5274,  5.2690
 45.0000,  5.4215,  5.9078,  5.6427
 50.0000,  5.7692,  6.2627,  5.9934
 55.0000,  6.0959,  6.5931,  6.3218
 60.0000,  6.4022,  6.9005,  6.6289
 65.0000,  6.6891,  7.1862,  6.9158
 70.0000,  6.9576,  7.4516,  7.1836
 75.0000,  7.2088,  7.6979,  7.4334
 80.0000,  7.4436,  7.9263,  7.6662
 85.0000,  7.6630,  8.1381,  7.8831
 90.0000,  7.8681,  8.3343,  8.0850
 95.0000,  8.0595,  8.5160,  8.2728
100.0000,  8.2383,  8.6840,  8.4474
