# Temperature (eV), Z (Dirichlet), Z (Neumann), Z (bands)
  0.0100,  3.0000,  1.0000,  2.7710
  5.0000,  3.0000,  1.9617,  2.8132
 10.0000,  3.0120,  2.4295,  2.9081
 15.0000,  3.1459,  2.8731,  3.1134
 20.0000,  3.4542,  3.3872,  3.4728
 25.0000,  3.8463,  3.9019,  3.8889
 30.0000,  4.2582,  4.3919,  4.2901
 35.0000,  4.6637,  4.1672,  4.6656
 40.0000,  5.0527,  4.6394,  4.9750
 45.0000,  5.0788,  5.0756,  5.2632
 50.0000,  5.4481,  5.4788,  5.5465
 55.0000,  5.7940,  5.8518,  5.8014
 60.0000,  6.1177,  6.1972,  6.0081
 65.0000,  6.4203,  6.5172,  6.1874
 70.0000,  6.0215,  6.8138,  6.4052
 75.0000,  6.3163,  7.0887,  6.6909
 80.0000,  6.5918,  6.7236,  6.9571
 85.0000,  6.8494,  6.9803,  7.2050
 90.0000,  7.0901,  7.2189,  7.3927
 95.0000,  7.3150,  7.4408,  7.3967
100.0000,  7.5253,  7.6472,  7.2828
