# Temperature (eV), Z (Dirichlet), Z (Neumann), Z (bands)
  0.0100,  1.0000,  1.0000,  0.0011
  5.0000,  1.6804,  1.9617,  1.9555
 10.0000,  3.0120,  3.0468,  2.9771
 15.0000,  3.1459,  3.3300,  3.2217
 20.0000,  3.4542,  3.7663,  3.5934
 25.0000,  3.8463,  4.2324,  4.0224
 30.0000,  4.2582,  4.6878,  4.4549
 35.0000,  4.6637,  5.1206,  4.8725
 40.0000,  5.0527,  5.5274,  5.2690
 45.0000,  5.4215,  5.9078,  5.6427
 50.0000,  5.7692,  6.2627,  5.9934
 55.0000,  6.0959,  6.5931,  6.3218
 60.0000,  6.4022,  9.7793,  6.6289
 65.0000,  6.6891,  9.8678,  9.7973
 70.0000,  9.8197,  9.9506,  9.8791
 75.0000,  9.8957, 11.0000,  9.9560
 80.0000,  9.9672, 11.0000, 11.0000
 85.0000, 11.0000, 11.0000, 11.0000
 90.0000, 11.0000, 11.0000, 11.0000
 95.0000, 11.0000, 11.0000, 11.0000
100.0000, 11.0000, 11.0000, 11.0000
