# Temperature (eV), Z (dirichlet), Z (Neumann), Z (bands)
  2.0000,  1.9615,  1.9655,  1.9470
  6.0000,  1.9605,  1.9496,  1.9426
 10.0000,  1.9595,  1.9462,  1.9368
 14.0000,  1.9594,  1.9481,  1.9383
 18.0000,  1.9675,  1.9795,  1.9553
 22.0000,  1.9892,  2.0494,  2.0005
 26.0000,  2.0333,  2.1536,  2.0765
 30.0000,  2.1029,  2.2794,  2.1706
 34.0000,  2.1872,  2.4159,  2.2799
 38.0000,  2.2815,  2.5470,  2.3906
 42.0000,  2.3768,  2.6702,  2.5032
 46.0000,  2.4758,  2.7841,  2.6118
 50.0000,  2.5718,  2.8883,  2.7154
 54.0000,  2.6641,  2.9851,  2.8133
 58.0000,  2.7520,  3.0722,  2.9022
 62.0000,  2.8353,  3.1498,  2.9853
 66.0000,  2.9138,  3.2233,  3.0627
 70.0000,  2.9876,  3.2883,  3.1344
 74.0000,  3.0567,  3.3476,  3.1981
 78.0000,  3.1213,  3.3994,  3.2596
 82.0000,  3.1815,  3.4486,  3.3137
