# Density (g/cm^3), N total, Z (dirichlet))
  2.0000,  3.9998,  2.2228
  6.0000,  3.9998,  2.2287
 10.0000,  3.9998,  2.2231
 14.0000,  3.9998,  2.2114
 18.0000,  3.9997,  2.2077
 22.0000,  3.9997,  2.2265
 26.0000,  3.9997,  2.2732
 30.0000,  3.9997,  2.3437
 34.0000,  3.9997,  2.4299
 38.0000,  3.9997,  2.5240
 42.0000,  3.9997,  2.6208
 46.0000,  3.9997,  2.7165
 50.0000,  3.9997,  2.8093
 54.0000,  3.9997,  2.8976
 58.0000,  3.9996,  2.9811
 62.0000,  3.9996,  3.0592
 66.0000,  3.9996,  3.1318
 70.0000,  3.9995,  3.1992
 74.0000,  3.9994,  3.2615
 78.0000,  3.9993,  3.3188
 82.0000,  3.9990,  3.3714
