# Temperature (eV), Z (dirichlet), Z (Neumann), Z (bands)
  2.0000,  2.0000,  0.6382,  1.9898
  6.0000,  2.0000,  1.2391,  1.9921
 10.0000,  2.0001,  1.4414,  1.9951
 14.0000,  2.0023,  1.5736,  2.0020
 18.0000,  2.0146,  1.6959,  2.0242
 22.0000,  2.0475,  1.8333,  2.0810
 26.0000,  2.1054,  1.9833,  2.1646
 30.0000,  2.1847,  2.1364,  2.2655
 34.0000,  2.2777,  2.2858,  2.3767
 38.0000,  2.3776,  2.4276,  2.4872
 42.0000,  2.4794,  2.5601,  2.5975
 46.0000,  2.5797,  2.6827,  2.7030
 50.0000,  2.6767,  2.7954,  2.8002
 54.0000,  2.7691,  2.8983,  2.8931
 58.0000,  2.8564,  2.9920,  2.9793
 62.0000,  2.9382,  3.0771,  3.0569
 66.0000,  3.0146,  3.1540,  3.1301
 70.0000,  3.0856,  3.2236,  3.1972
 74.0000,  3.1514,  3.2864,  3.2585
 78.0000,  3.2122,  3.3430,  3.3145
 82.0000,  3.2683,  3.3940,  3.3654
