# Temperature (eV), Z (dirichlet), Z (Neumann), Z (bands)
  2.0000,  2.0000,  0.6382,  0.5070
  6.0000,  2.0000,  2.0000,  1.4467
 10.0000,  2.0001,  2.0008,  1.9237
 14.0000,  2.0023,  2.0124,  2.0075
 18.0000,  2.0146,  2.0582,  2.0315
 22.0000,  2.0475,  2.1464,  2.0870
 26.0000,  2.1054,  2.2627,  2.1722
 30.0000,  2.1847,  2.3907,  2.2745
 34.0000,  2.2777,  2.5201,  2.3870
 38.0000,  2.3776,  2.6452,  2.5011
 42.0000,  2.4794,  2.7632,  2.6125
 46.0000,  2.5797,  2.8731,  2.7190
 50.0000,  2.6767,  2.9743,  2.8194
 54.0000,  2.7691,  4.0000,  2.9131
 58.0000,  2.8564,  4.0000,  4.0000
 62.0000,  2.9382,  4.0000,  4.0000
 66.0000,  4.0000,  4.0000,  4.0000
 70.0000,  4.0000,  4.0000,  4.0000
 74.0000,  4.0000,  4.0000,  4.0000
 78.0000,  4.0000,  4.0000,  4.0000
 82.0000,  4.0000,  4.0000,  4.0000
