      energy       fd occ          dos 
-2.06410e-01  8.36910e-02  0.00000e+00
-1.88212e-01  8.32291e-02  7.87221e-01
-1.70013e-01  8.27694e-02  1.10184e+00
-1.51815e-01  8.23121e-02  1.33530e+00
-1.33617e-01  8.18571e-02  1.52533e+00
-1.15419e-01  8.14044e-02  1.68667e+00
-9.72205e-02  8.09539e-02  1.82693e+00
-7.90223e-02  8.05058e-02  1.95068e+00
-6.08241e-02  8.00599e-02  2.06089e+00
-4.26259e-02  7.96162e-02  2.15962e+00
-2.44277e-02  7.91748e-02  2.24840e+00
-6.22951e-03  7.87357e-02  2.32837e+00
 5.45744e-03  7.84548e-02  2.37549e+00
 1.19687e-02  7.82987e-02  4.58926e+00
 1.96460e-02  7.81151e-02  5.64124e+00
 3.01669e-02  7.78640e-02  6.67118e+00
 3.38345e-02  7.77767e-02  6.97213e+00
 4.80231e-02  7.74396e-02  7.96686e+00
 4.83651e-02  7.74315e-02  7.98825e+00
 6.22116e-02  7.71039e-02  8.77981e+00
 6.65633e-02  7.70012e-02  9.00303e+00
 7.64002e-02  7.67695e-02  9.47142e+00
 8.47615e-02  7.65731e-02  9.83542e+00
 9.05887e-02  7.64365e-02  1.00730e+01
 1.02960e-01  7.61472e-02  1.05388e+01
 1.04777e-01  7.61047e-02  1.06032e+01
 1.18966e-01  7.57743e-02  1.10743e+01
 1.21158e-01  7.57234e-02  1.11425e+01
 1.33154e-01  7.54453e-02  1.14950e+01
 1.39356e-01  7.53018e-02  1.16647e+01
 1.47343e-01  7.51175e-02  1.18715e+01
 1.57554e-01  7.48824e-02  1.21178e+01
 1.61531e-01  7.47910e-02  1.22084e+01
 1.75720e-01  7.44659e-02  1.25095e+01
 1.75753e-01  7.44651e-02  1.25102e+01
 1.89909e-01  7.41420e-02  1.27776e+01
 1.93951e-01  7.40500e-02  1.28483e+01
 2.04097e-01  7.38194e-02  1.30150e+01
 2.12149e-01  7.36370e-02  1.31368e+01
 2.18286e-01  7.34982e-02  1.32236e+01
 2.30347e-01  7.32261e-02  1.33794e+01
 2.32474e-01  7.31782e-02  1.34049e+01
 2.46663e-01  7.28595e-02  1.35600e+01
 2.48545e-01  7.28173e-02  1.35787e+01
 2.60851e-01  7.25421e-02  1.36900e+01
 2.66744e-01  7.24106e-02  1.37368e+01
 2.75040e-01  7.22259e-02  1.37958e+01
 2.84942e-01  7.20061e-02  1.38555e+01
