        eigs         occs          dos      l_degen     k_int_wt 
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
-4.92943e+00  3.04512e-01  1.00000e+00  2.00000e+00  2.00000e-02
