     r (a_0)         v_en         v_ha         v_xc
 6.14421e-06 -6.51019e+05  4.75491e+00 -1.23687e-01
 6.19714e-06 -6.45459e+05  4.75491e+00 -1.87553e-01
 6.25053e-06 -6.39946e+05  4.75491e+00 -2.39543e-01
 6.30438e-06 -6.34480e+05  4.75491e+00 -2.84911e-01
 6.35869e-06 -6.29061e+05  4.75491e+00 -3.25872e-01
 6.41347e-06 -6.23688e+05  4.75491e+00 -3.63603e-01
 6.46872e-06 -6.18361e+05  4.75491e+00 -3.98817e-01
 6.52444e-06 -6.13079e+05  4.75491e+00 -4.31988e-01
 6.58065e-06 -6.07843e+05  4.75491e+00 -4.63450e-01
 6.63734e-06 -6.02651e+05  4.75491e+00 -4.93450e-01
 6.69452e-06 -5.97504e+05  4.75491e+00 -5.22175e-01
 6.75219e-06 -5.92400e+05  4.75491e+00 -5.49776e-01
 6.81036e-06 -5.87341e+05  4.75491e+00 -5.76370e-01
 6.86903e-06 -5.82324e+05  4.75491e+00 -6.02057e-01
 6.92820e-06 -5.77350e+05  4.75491e+00 -6.26917e-01
 6.98789e-06 -5.72419e+05  4.75491e+00 -6.51020e-01
 7.04809e-06 -5.67530e+05  4.75491e+00 -6.74424e-01
 7.10881e-06 -5.62682e+05  4.75491e+00 -6.97181e-01
 7.17005e-06 -5.57876e+05  4.75491e+00 -7.19335e-01
 7.23181e-06 -5.53112e+05  4.75491e+00 -7.40925e-01
 7.29411e-06 -5.48387e+05  4.75491e+00 -7.61985e-01
 7.35695e-06 -5.43703e+05  4.75491e+00 -7.82546e-01
 7.42033e-06 -5.39060e+05  4.75491e+00 -8.02636e-01
 7.48425e-06 -5.34455e+05  4.75491e+00 -8.22280e-01
 7.54873e-06 -5.29890e+05  4.75491e+00 -8.41499e-01
 7.61376e-06 -5.25365e+05  4.75491e+00 -8.60315e-01
 7.67935e-06 -5.20877e+05  4.75491e+00 -8.78746e-01
 7.74551e-06 -5.16428e+05  4.75491e+00 -8.96810e-01
 7.81223e-06 -5.12018e+05  4.75491e+00 -9.14521e-01
 7.87953e-06 -5.07644e+05  4.75491e+00 -9.31894e-01
 7.94741e-06 -5.03308e+05  4.75491e+00 -9.48944e-01
 8.01588e-06 -4.99010e+05  4.75491e+00 -9.65682e-01
 8.08493e-06 -4.94747e+05  4.75491e+00 -9.82119e-01
 8.15458e-06 -4.90522e+05  4.75491e+00 -9.98268e-01
 8.22483e-06 -4.86332e+05  4.75491e+00 -1.01414e+00
 8.29569e-06 -4.82178e+05  4.75491e+00 -1.02974e+00
 8.36715e-06 -4.78060e+05  4.75491e+00 -1.04507e+00
 8.43923e-06 -4.73977e+05  4.75491e+00 -1.06016e+00
 8.51194e-06 -4.69928e+05  4.75491e+00 -1.07500e+00
 8.58526e-06 -4.65915e+05  4.75491e+00 -1.08961e+00
 8.65922e-06 -4.61935e+05  4.75491e+00 -1.10398e+00
 8.73382e-06 -4.57990e+05  4.75491e+00 -1.11813e+00
 8.80906e-06 -4.54078e+05  4.75491e+00 -1.13207e+00
 8.88495e-06 -4.50200e+05  4.75491e+00 -1.14579e+00
 8.96149e-06 -4.46354e+05  4.75491e+00 -1.15930e+00
 9.03869e-06 -4.42542e+05  4.75491e+00 -1.17262e+00
 9.11656e-06 -4.38762e+05  4.75491e+00 -1.18574e+00
 9.19509e-06 -4.35015e+05  4.75491e+00 -1.19867e+00
 9.27431e-06 -4.31299e+05  4.75491e+00 -1.21142e+00
 9.35420e-06 -4.27615e+05  4.75491e+00 -1.22399e+00
 9.43479e-06 -4.23963e+05  4.75491e+00 -1.23638e+00
 9.51607e-06 -4.20342e+05  4.75491e+00 -1.24859e+00
 9.59805e-06 -4.16752e+05  4.75491e+00 -1.26064e+00
 9.68073e-06 -4.13192e+05  4.75491e+00 -1.27253e+00
 9.76413e-06 -4.09663e+05  4.75491e+00 -1.28425e+00
 9.84824e-06 -4.06164e+05  4.75491e+00 -1.29582e+00
 9.93308e-06 -4.02695e+05  4.75491e+00 -1.30723e+00
 1.00187e-05 -3.99255e+05  4.75491e+00 -1.31849e+00
 1.01050e-05 -3.95845e+05  4.75491e+00 -1.32960e+00
