        eigs         occs          dos      l_degen     k_int_wt 
-4.82006e+00  3.65620e-01  1.00000e+00  2.00000e+00  1.00000e+00
 5.06304e-01  8.95954e-02  1.00000e+00  2.00000e+00  1.00000e+00
 5.20310e-01  8.92170e-02  1.00000e+00  6.00000e+00  1.00000e+00
 2.12148e+00  5.44454e-02  1.00000e+00  1.00000e+01  1.00000e+00
 3.40094e+00  3.62931e-02  1.00000e+00  6.00000e+00  1.00000e+00
 3.67280e+00  3.32664e-02  1.00000e+00  1.40000e+01  1.00000e+00
 4.18263e+00  2.82348e-02  1.00000e+00  2.00000e+00  1.00000e+00
 5.37923e+00  1.91588e-02  1.00000e+00  1.80000e+01  1.00000e+00
 6.06101e+00  1.53391e-02  1.00000e+00  1.00000e+01  1.00000e+00
 7.27754e+00  1.02966e-02  1.00000e+00  2.20000e+01  1.00000e+00
 8.26526e+00  7.44038e-03  1.00000e+00  6.00000e+00  1.00000e+00
 8.65543e+00  6.54269e-03  1.00000e+00  1.40000e+01  1.00000e+00
 9.37800e+00  5.15498e-03  1.00000e+00  2.60000e+01  1.00000e+00
 9.92372e+00  4.30475e-03  1.00000e+00  2.00000e+00  1.00000e+00
 1.13739e+01  2.66482e-03  1.00000e+00  1.80000e+01  1.00000e+00
 1.16837e+01  2.40506e-03  1.00000e+00  3.00000e+01  1.00000e+00
 1.18806e+01  2.25331e-03  1.00000e+00  1.00000e+01  1.00000e+00
 1.41954e+01  1.04651e-03  1.00000e+00  3.40000e+01  1.00000e+00
 1.42735e+01  1.01974e-03  1.00000e+00  2.20000e+01  1.00000e+00
 1.49982e+01  8.01956e-04  1.00000e+00  6.00000e+00  1.00000e+00
 1.54385e+01  6.93003e-04  1.00000e+00  1.40000e+01  1.00000e+00
 1.69126e+01  4.25017e-04  1.00000e+00  3.80000e+01  1.00000e+00
 1.73753e+01  3.64544e-04  1.00000e+00  2.60000e+01  1.00000e+00
 1.75523e+01  3.43754e-04  1.00000e+00  2.00000e+00  1.00000e+00
 1.91124e+01  2.04869e-04  1.00000e+00  1.80000e+01  1.00000e+00
 1.95406e+01  1.77732e-04  1.00000e+00  1.00000e+01  1.00000e+00
 1.98347e+01  1.61208e-04  1.00000e+00  4.20000e+01  1.00000e+00
 2.06878e+01  1.21466e-04  1.00000e+00  3.00000e+01  1.00000e+00
 2.29609e+01  5.71328e-05  1.00000e+00  4.60000e+01  1.00000e+00
 2.29633e+01  5.70883e-05  1.00000e+00  2.20000e+01  1.00000e+00
 2.35672e+01  4.67215e-05  1.00000e+00  6.00000e+00  1.00000e+00
 2.40340e+01  4.00172e-05  1.00000e+00  1.40000e+01  1.00000e+00
 2.42148e+01  3.76869e-05  1.00000e+00  3.40000e+01  1.00000e+00
 2.62904e+01  1.89265e-05  1.00000e+00  5.00000e+01  1.00000e+00
 2.70164e+01  1.48743e-05  1.00000e+00  2.60000e+01  1.00000e+00
 2.70203e+01  1.48551e-05  1.00000e+00  2.00000e+00  1.00000e+00
 2.79575e+01  1.08844e-05  1.00000e+00  3.80000e+01  1.00000e+00
 2.86403e+01  8.67754e-06  1.00000e+00  1.80000e+01  1.00000e+00
 2.90230e+01  7.64270e-06  1.00000e+00  1.00000e+01  1.00000e+00
 2.98221e+01  5.86244e-06  1.00000e+00  5.40000e+01  1.00000e+00
 3.12830e+01  3.61030e-06  1.00000e+00  3.00000e+01  1.00000e+00
 3.19163e+01  2.92602e-06  1.00000e+00  4.20000e+01  1.00000e+00
 3.34213e+01  1.77573e-06  1.00000e+00  2.20000e+01  1.00000e+00
 3.35555e+01  1.69838e-06  1.00000e+00  5.80000e+01  1.00000e+00
 3.39540e+01  1.48801e-06  1.00000e+00  6.00000e+00  1.00000e+00
 3.44361e+01  1.26802e-06  1.00000e+00  1.40000e+01  1.00000e+00
 3.57685e+01  8.14893e-07  1.00000e+00  3.40000e+01  1.00000e+00
 3.60907e+01  7.32257e-07  1.00000e+00  4.60000e+01  1.00000e+00
 3.83057e+01  3.51109e-07  1.00000e+00  2.00000e+00  1.00000e+00
 3.84040e+01  3.39843e-07  1.00000e+00  2.60000e+01  1.00000e+00
 3.99618e+01  2.02659e-07  1.00000e+00  1.80000e+01  1.00000e+00
 4.03156e+01  1.80206e-07  1.00000e+00  1.00000e+01  1.00000e+00
 4.04753e+01  1.70906e-07  1.00000e+00  3.80000e+01  1.00000e+00
 4.04802e+01  1.70629e-07  1.00000e+00  5.00000e+01  1.00000e+00
 4.36015e+01  6.05634e-08  1.00000e+00  3.00000e+01  1.00000e+00
 4.50840e+01  3.70303e-08  1.00000e+00  5.40000e+01  1.00000e+00
 4.54044e+01  3.32948e-08  1.00000e+00  4.20000e+01  1.00000e+00
 4.56609e+01  3.05787e-08  1.00000e+00  2.20000e+01  1.00000e+00
 4.61470e+01  2.60230e-08  1.00000e+00  6.00000e+00  1.00000e+00
 4.66388e+01  2.21042e-08  1.00000e+00  1.40000e+01  1.00000e+00
 4.90206e+01  1.00280e-08  1.00000e+00  3.40000e+01  1.00000e+00
 4.99013e+01  7.48680e-09  1.00000e+00  5.80000e+01  1.00000e+00
 5.05560e+01  6.02474e-09  1.00000e+00  4.60000e+01  1.00000e+00
 5.13962e+01  4.55878e-09  1.00000e+00  2.00000e+00  1.00000e+00
 5.15614e+01  4.31562e-09  1.00000e+00  2.60000e+01  1.00000e+00
 5.30753e+01  2.61128e-09  1.00000e+00  1.80000e+01  1.00000e+00
 5.34099e+01  2.33686e-09  1.00000e+00  1.00000e+01  1.00000e+00
 5.46646e+01  1.54103e-09  1.00000e+00  3.80000e+01  1.00000e+00
 5.59297e+01  1.01272e-09  1.00000e+00  5.00000e+01  1.00000e+00
 5.76775e+01  5.67007e-10  1.00000e+00  3.00000e+01  1.00000e+00
 5.96849e+01  2.91263e-10  1.00000e+00  2.20000e+01  1.00000e+00
 6.01389e+01  2.50531e-10  1.00000e+00  6.00000e+00  1.00000e+00
 6.05350e+01  2.19671e-10  1.00000e+00  4.20000e+01  1.00000e+00
 6.06374e+01  2.12333e-10  1.00000e+00  1.40000e+01  1.00000e+00
 6.15249e+01  1.58166e-10  1.00000e+00  5.40000e+01  1.00000e+00
 6.40169e+01  6.91777e-11  1.00000e+00  3.40000e+01  1.00000e+00
 6.62843e+01  3.25982e-11  1.00000e+00  2.00000e+00  1.00000e+00
 6.64959e+01  3.03874e-11  1.00000e+00  2.60000e+01  1.00000e+00
 6.66325e+01  2.90412e-11  1.00000e+00  4.60000e+01  1.00000e+00
 6.73409e+01  2.29568e-11  1.00000e+00  5.80000e+01  1.00000e+00
