     r (a_0)         v_en         v_ha         v_xc
 6.14421e-06 -6.51019e+05  5.52424e+00 -1.32430e-01
 6.19714e-06 -6.45459e+05  5.52424e+00 -2.00059e-01
 6.25053e-06 -6.39946e+05  5.52424e+00 -2.54794e-01
 6.30438e-06 -6.34480e+05  5.52424e+00 -3.02556e-01
 6.35869e-06 -6.29061e+05  5.52424e+00 -3.45700e-01
 6.41347e-06 -6.23688e+05  5.52424e+00 -3.85463e-01
 6.46872e-06 -6.18361e+05  5.52424e+00 -4.22590e-01
 6.52444e-06 -6.13079e+05  5.52424e+00 -4.57577e-01
 6.58065e-06 -6.07843e+05  5.52424e+00 -4.90772e-01
 6.63734e-06 -6.02651e+05  5.52424e+00 -5.22432e-01
 6.69452e-06 -5.97504e+05  5.52424e+00 -5.52756e-01
 6.75219e-06 -5.92400e+05  5.52424e+00 -5.81898e-01
 6.81036e-06 -5.87341e+05  5.52424e+00 -6.09982e-01
 6.86903e-06 -5.82324e+05  5.52424e+00 -6.37112e-01
 6.92820e-06 -5.77350e+05  5.52424e+00 -6.63373e-01
 6.98789e-06 -5.72419e+05  5.52424e+00 -6.88838e-01
 7.04809e-06 -5.67530e+05  5.52424e+00 -7.13567e-01
 7.10881e-06 -5.62682e+05  5.52424e+00 -7.37614e-01
 7.17005e-06 -5.57876e+05  5.52424e+00 -7.61027e-01
 7.23181e-06 -5.53112e+05  5.52424e+00 -7.83845e-01
 7.29411e-06 -5.48387e+05  5.52424e+00 -8.06105e-01
 7.35695e-06 -5.43703e+05  5.52424e+00 -8.27840e-01
 7.42033e-06 -5.39060e+05  5.52424e+00 -8.49077e-01
 7.48425e-06 -5.34455e+05  5.52424e+00 -8.69845e-01
 7.54873e-06 -5.29890e+05  5.52424e+00 -8.90165e-01
 7.61376e-06 -5.25365e+05  5.52424e+00 -9.10059e-01
 7.67935e-06 -5.20877e+05  5.52424e+00 -9.29548e-01
 7.74551e-06 -5.16428e+05  5.52424e+00 -9.48648e-01
 7.81223e-06 -5.12018e+05  5.52424e+00 -9.67378e-01
 7.87953e-06 -5.07644e+05  5.52424e+00 -9.85751e-01
 7.94741e-06 -5.03308e+05  5.52424e+00 -1.00378e+00
 8.01588e-06 -4.99010e+05  5.52424e+00 -1.02148e+00
 8.08493e-06 -4.94747e+05  5.52424e+00 -1.03887e+00
 8.15458e-06 -4.90522e+05  5.52424e+00 -1.05595e+00
 8.22483e-06 -4.86332e+05  5.52424e+00 -1.07273e+00
 8.29569e-06 -4.82178e+05  5.52424e+00 -1.08923e+00
 8.36715e-06 -4.78060e+05  5.52424e+00 -1.10546e+00
 8.43923e-06 -4.73977e+05  5.52424e+00 -1.12142e+00
 8.51194e-06 -4.69928e+05  5.52424e+00 -1.13712e+00
 8.58526e-06 -4.65915e+05  5.52424e+00 -1.15257e+00
 8.65922e-06 -4.61935e+05  5.52424e+00 -1.16777e+00
 8.73382e-06 -4.57990e+05  5.52424e+00 -1.18274e+00
 8.80906e-06 -4.54078e+05  5.52424e+00 -1.19748e+00
 8.88495e-06 -4.50200e+05  5.52424e+00 -1.21200e+00
 8.96149e-06 -4.46354e+05  5.52424e+00 -1.22630e+00
 9.03869e-06 -4.42542e+05  5.52424e+00 -1.24039e+00
 9.11656e-06 -4.38762e+05  5.52424e+00 -1.25427e+00
 9.19509e-06 -4.35015e+05  5.52424e+00 -1.26795e+00
 9.27431e-06 -4.31299e+05  5.52424e+00 -1.28144e+00
 9.35420e-06 -4.27615e+05  5.52424e+00 -1.29474e+00
 9.43479e-06 -4.23963e+05  5.52424e+00 -1.30785e+00
 9.51607e-06 -4.20342e+05  5.52424e+00 -1.32077e+00
 9.59805e-06 -4.16752e+05  5.52424e+00 -1.33352e+00
 9.68073e-06 -4.13192e+05  5.52424e+00 -1.34610e+00
 9.76413e-06 -4.09663e+05  5.52424e+00 -1.35850e+00
 9.84824e-06 -4.06164e+05  5.52424e+00 -1.37074e+00
 9.93308e-06 -4.02695e+05  5.52424e+00 -1.38282e+00
 1.00187e-05 -3.99255e+05  5.52424e+00 -1.39474e+00
 1.01050e-05 -3.95845e+05  5.52424e+00 -1.40650e+00
 1.01920e-05 -3.92464e+05  5.52424e+00 -1.41810e+00
 1.02798e-05 -3.89112e+05  5.52424e+00 -1.42956e+00
 1.03684e-05 -3.85789e+05  5.52424e+00 -1.44088e+00
 1.04577e-05 -3.82493e+05  5.52424e+00 -1.45204e+00
 1.05478e-05 -3.79227e+05  5.52424e+00 -1.46307e+00
 1.06387e-05 -3.75987e+05  5.52424e+00 -1.47396e+00
 1.07303e-05 -3.72776e+05  5.52424e+00 -1.48471e+00
 1.08227e-05 -3.69592e+05  5.52424e+00 -1.49533e+00
 1.09160e-05 -3.66435e+05  5.52424e+00 -1.50582e+00
 1.10100e-05 -3.63306e+05  5.52424e+00 -1.51618e+00
 1.11049e-05 -3.60203e+05  5.52424e+00 -1.52642e+00
 1.12005e-05 -3.57126e+05  5.52424e+00 -1.53653e+00
 1.12970e-05 -3.54076e+05  5.52424e+00 -1.54652e+00
 1.13943e-05 -3.51051e+05  5.52424e+00 -1.55639e+00
 1.14925e-05 -3.48053e+05  5.52424e+00 -1.56614e+00
 1.15915e-05 -3.45080e+05  5.52424e+00 -1.57578e+00
 1.16914e-05 -3.42133e+05  5.52424e+00 -1.58530e+00
 1.17921e-05 -3.39211e+05  5.52424e+00 -1.59471e+00
 1.18937e-05 -3.36313e+05  5.52424e+00 -1.60401e+00
 1.19961e-05 -3.33441e+05  5.52424e+00 -1.61321e+00
 1.20995e-05 -3.30593e+05  5.52424e+00 -1.62230e+00
 1.22037e-05 -3.27769e+05  5.52424e+00 -1.63128e+00
 1.23088e-05 -3.24970e+05  5.52424e+00 -1.64016e+00
 1.24149e-05 -3.22194e+05  5.52424e+00 -1.64894e+00
 1.25218e-05 -3.19442e+05  5.52424e+00 -1.65762e+00
 1.26297e-05 -3.16714e+05  5.52424e+00 -1.66620e+00
 1.27385e-05 -3.14009e+05  5.52424e+00 -1.67468e+00
 1.28482e-05 -3.11327e+05  5.52424e+00 -1.68307e+00
 1.29589e-05 -3.08668e+05  5.52424e+00 -1.69137e+00
 1.30706e-05 -3.06031e+05  5.52424e+00 -1.69957e+00
 1.31832e-05 -3.03417e+05  5.52424e+00 -1.70769e+00
 1.32967e-05 -3.00826e+05  5.52424e+00 -1.71571e+00
 1.34113e-05 -2.98256e+05  5.52424e+00 -1.72364e+00
 1.35268e-05 -2.95709e+05  5.52424e+00 -1.73149e+00
 1.36433e-05 -2.93183e+05  5.52424e+00 -1.73925e+00
 1.37609e-05 -2.90679e+05  5.52424e+00 -1.74693e+00
 1.38794e-05 -2.88196e+05  5.52424e+00 -1.75452e+00
 1.39990e-05 -2.85735e+05  5.52424e+00 -1.76204e+00
 1.41196e-05 -2.83294e+05  5.52424e+00 -1.76947e+00
 1.42412e-05 -2.80875e+05  5.52424e+00 -1.77682e+00
 1.43639e-05 -2.78476e+05  5.52424e+00 -1.78409e+00
 1.44877e-05 -2.76097e+05  5.52424e+00 -1.79128e+00
 1.46125e-05 -2.73739e+05  5.52424e+00 -1.79840e+00
 1.47383e-05 -2.71401e+05  5.52424e+00 -1.80544e+00
 1.48653e-05 -2.69083e+05  5.52424e+00 -1.81241e+00
 1.49934e-05 -2.66785e+05  5.52424e+00 -1.81930e+00
 1.51225e-05 -2.64506e+05  5.52424e+00 -1.82612e+00
 1.52528e-05 -2.62247e+05  5.52424e+00 -1.83287e+00
 1.53842e-05 -2.60007e+05  5.52424e+00 -1.83955e+00
 1.55167e-05 -2.57786e+05  5.52424e+00 -1.84616e+00
 1.56504e-05 -2.55584e+05  5.52424e+00 -1.85270e+00
 1.57852e-05 -2.53401e+05  5.52424e+00 -1.85917e+00
 1.59212e-05 -2.51237e+05  5.52424e+00 -1.86558e+00
 1.60584e-05 -2.49091e+05  5.52424e+00 -1.87192e+00
 1.61967e-05 -2.46963e+05  5.52424e+00 -1.87819e+00
 1.63363e-05 -2.44854e+05  5.52424e+00 -1.88440e+00
 1.64770e-05 -2.42763e+05  5.52424e+00 -1.89054e+00
 1.66189e-05 -2.40689e+05  5.52424e+00 -1.89662e+00
 1.67621e-05 -2.38634e+05  5.52424e+00 -1.90264e+00
 1.69065e-05 -2.36595e+05  5.52424e+00 -1.90860e+00
 1.70522e-05 -2.34575e+05  5.52424e+00 -1.91450e+00
 1.71991e-05 -2.32571e+05  5.52424e+00 -1.92034e+00
 1.73472e-05 -2.30585e+05  5.52424e+00 -1.92611e+00
 1.74967e-05 -2.28615e+05  5.52424e+00 -1.93183e+00
 1.76474e-05 -2.26662e+05  5.52424e+00 -1.93750e+00
 1.77994e-05 -2.24726e+05  5.52424e+00 -1.94310e+00
 1.79528e-05 -2.22807e+05  5.52424e+00 -1.94865e+00
 1.81074e-05 -2.20904e+05  5.52424e+00 -1.95414e+00
 1.82634e-05 -2.19017e+05  5.52424e+00 -1.95958e+00
 1.84207e-05 -2.17147e+05  5.52424e+00 -1.96496e+00
 1.85794e-05 -2.15292e+05  5.52424e+00 -1.97029e+00
 1.87395e-05 -2.13453e+05  5.52424e+00 -1.97557e+00
 1.89009e-05 -2.11630e+05  5.52424e+00 -1.98080e+00
 1.90637e-05 -2.09822e+05  5.52424e+00 -1.98597e+00
 1.92280e-05 -2.08030e+05  5.52424e+00 -1.99109e+00
