        eigs         occs          dos      l_degen     k_int_wt 
-5.14738e+00  2.44125e-01  1.00000e+00  2.00000e+00  1.00000e+00
-1.73603e-01  5.83747e-02  1.00000e+00  2.00000e+00  1.00000e+00
 3.02070e-02  5.47662e-02  1.00000e+00  6.00000e+00  1.00000e+00
 8.32980e-01  4.25027e-02  1.00000e+00  1.00000e+01  1.00000e+00
 1.60128e+00  3.32556e-02  1.00000e+00  6.00000e+00  1.00000e+00
 1.71041e+00  3.21107e-02  1.00000e+00  1.40000e+01  1.00000e+00
 1.98108e+00  2.94335e-02  1.00000e+00  2.00000e+00  1.00000e+00
 2.76849e+00  2.28197e-02  1.00000e+00  1.80000e+01  1.00000e+00
 3.83310e+00  1.61376e-02  1.00000e+00  1.00000e+01  1.00000e+00
 4.01920e+00  1.51858e-02  1.00000e+00  2.20000e+01  1.00000e+00
 5.46481e+00  9.45408e-03  1.00000e+00  2.60000e+01  1.00000e+00
 5.51262e+00  9.30665e-03  1.00000e+00  6.00000e+00  1.00000e+00
 5.95126e+00  8.05609e-03  1.00000e+00  1.40000e+01  1.00000e+00
 6.72697e+00  6.23915e-03  1.00000e+00  2.00000e+00  1.00000e+00
 7.10540e+00  5.50687e-03  1.00000e+00  3.00000e+01  1.00000e+00
 8.18480e+00  3.85535e-03  1.00000e+00  1.80000e+01  1.00000e+00
 8.68737e+00  3.26507e-03  1.00000e+00  1.00000e+01  1.00000e+00
 8.94047e+00  3.00282e-03  1.00000e+00  3.40000e+01  1.00000e+00
 1.05942e+01  1.73679e-03  1.00000e+00  2.20000e+01  1.00000e+00
 1.09693e+01  1.53382e-03  1.00000e+00  3.80000e+01  1.00000e+00
 1.13068e+01  1.37154e-03  1.00000e+00  6.00000e+00  1.00000e+00
 1.17929e+01  1.16745e-03  1.00000e+00  1.40000e+01  1.00000e+00
 1.31912e+01  7.34349e-04  1.00000e+00  4.20000e+01  1.00000e+00
 1.32001e+01  7.32184e-04  1.00000e+00  2.60000e+01  1.00000e+00
 1.34093e+01  6.83115e-04  1.00000e+00  2.00000e+00  1.00000e+00
 1.50089e+01  4.01870e-04  1.00000e+00  1.80000e+01  1.00000e+00
 1.54099e+01  3.51816e-04  1.00000e+00  1.00000e+01  1.00000e+00
 1.56055e+01  3.29709e-04  1.00000e+00  4.60000e+01  1.00000e+00
 1.60108e+01  2.88227e-04  1.00000e+00  3.00000e+01  1.00000e+00
 1.82116e+01  1.38876e-04  1.00000e+00  5.00000e+01  1.00000e+00
 1.83979e+01  1.30550e-04  1.00000e+00  2.20000e+01  1.00000e+00
 1.89536e+01  1.08570e-04  1.00000e+00  6.00000e+00  1.00000e+00
 1.90298e+01  1.05860e-04  1.00000e+00  3.40000e+01  1.00000e+00
 1.94592e+01  9.18010e-05  1.00000e+00  1.40000e+01  1.00000e+00
 2.10089e+01  5.48929e-05  1.00000e+00  5.40000e+01  1.00000e+00
 2.19544e+01  4.01110e-05  1.00000e+00  2.00000e+00  1.00000e+00
 2.19852e+01  3.97026e-05  1.00000e+00  2.60000e+01  1.00000e+00
 2.22582e+01  3.62650e-05  1.00000e+00  3.80000e+01  1.00000e+00
 2.36178e+01  2.30960e-05  1.00000e+00  1.80000e+01  1.00000e+00
 2.39705e+01  2.05454e-05  1.00000e+00  1.00000e+01  1.00000e+00
 2.39970e+01  2.03658e-05  1.00000e+00  5.80000e+01  1.00000e+00
 2.56963e+01  1.15877e-05  1.00000e+00  4.20000e+01  1.00000e+00
 2.57820e+01  1.12628e-05  1.00000e+00  3.00000e+01  1.00000e+00
 2.79481e+01  5.48877e-06  1.00000e+00  2.20000e+01  1.00000e+00
 2.84285e+01  4.67993e-06  1.00000e+00  6.00000e+00  1.00000e+00
 2.89431e+01  3.94530e-06  1.00000e+00  1.40000e+01  1.00000e+00
 2.93439e+01  3.45389e-06  1.00000e+00  4.60000e+01  1.00000e+00
 2.97935e+01  2.97520e-06  1.00000e+00  3.40000e+01  1.00000e+00
 3.23288e+01  1.28274e-06  1.00000e+00  2.00000e+00  1.00000e+00
 3.24771e+01  1.22111e-06  1.00000e+00  2.60000e+01  1.00000e+00
 3.32005e+01  9.60509e-07  1.00000e+00  5.00000e+01  1.00000e+00
 3.40221e+01  7.31291e-07  1.00000e+00  3.80000e+01  1.00000e+00
 3.40258e+01  7.30404e-07  1.00000e+00  1.80000e+01  1.00000e+00
 3.43510e+01  6.55677e-07  1.00000e+00  1.00000e+01  1.00000e+00
 3.72181e+01  2.53219e-07  1.00000e+00  3.00000e+01  1.00000e+00
 3.72654e+01  2.49271e-07  1.00000e+00  5.40000e+01  1.00000e+00
 3.84688e+01  1.67199e-07  1.00000e+00  4.20000e+01  1.00000e+00
 3.92796e+01  1.27759e-07  1.00000e+00  2.20000e+01  1.00000e+00
 3.97161e+01  1.10531e-07  1.00000e+00  6.00000e+00  1.00000e+00
 4.02351e+01  9.30431e-08  1.00000e+00  1.40000e+01  1.00000e+00
 4.15379e+01  6.03839e-08  1.00000e+00  5.80000e+01  1.00000e+00
 4.21774e+01  4.88381e-08  1.00000e+00  3.40000e+01  1.00000e+00
 4.31338e+01  3.55574e-08  1.00000e+00  4.60000e+01  1.00000e+00
 4.45149e+01  2.24847e-08  1.00000e+00  2.00000e+00  1.00000e+00
 4.47325e+01  2.09182e-08  1.00000e+00  2.60000e+01  1.00000e+00
 4.62309e+01  1.27225e-08  1.00000e+00  1.80000e+01  1.00000e+00
 4.65394e+01  1.14844e-08  1.00000e+00  1.00000e+01  1.00000e+00
 4.73585e+01  8.75115e-09  1.00000e+00  3.80000e+01  1.00000e+00
 4.80166e+01  7.03425e-09  1.00000e+00  5.00000e+01  1.00000e+00
 5.03987e+01  3.19091e-09  1.00000e+00  3.00000e+01  1.00000e+00
 5.23981e+01  1.64350e-09  1.00000e+00  2.20000e+01  1.00000e+00
