      energy       fd occ          dos 
-5.39068e+00  9.94986e-01  0.00000e+00
-5.29751e+00  9.94858e-01  1.57725e-01
-5.20433e+00  9.94727e-01  2.20721e-01
-5.11116e+00  9.94592e-01  2.67436e-01
-5.01799e+00  9.94454e-01  3.05433e-01
-4.92481e+00  9.94313e-01  3.37669e-01
-4.83164e+00  9.94167e-01  3.65670e-01
-4.73846e+00  9.94019e-01  3.90350e-01
-4.64529e+00  9.93866e-01  4.12303e-01
-4.55211e+00  9.93709e-01  4.31948e-01
-4.45894e+00  9.93549e-01  4.49586e-01
-4.36576e+00  9.93384e-01  4.65445e-01
-4.27259e+00  9.93216e-01  4.79702e-01
-4.17941e+00  9.93043e-01  4.92496e-01
-4.08624e+00  9.92865e-01  5.03939e-01
-3.99306e+00  9.92683e-01  5.14121e-01
-3.89989e+00  9.92497e-01  5.23115e-01
-3.80671e+00  9.92306e-01  5.30982e-01
-3.71354e+00  9.92110e-01  5.37771e-01
-3.62037e+00  9.91909e-01  5.43522e-01
-3.52719e+00  9.91703e-01  5.48269e-01
-3.43402e+00  9.91491e-01  5.52038e-01
-3.34084e+00  9.91275e-01  5.54847e-01
-3.24767e+00  9.91053e-01  5.56712e-01
-3.15449e+00  9.90825e-01  5.57642e-01
-3.06132e+00  9.90592e-01  5.57642e-01
-2.96814e+00  9.90353e-01  5.56712e-01
-2.87497e+00  9.90107e-01  5.54847e-01
-2.78179e+00  9.89856e-01  5.52038e-01
-2.68862e+00  9.89598e-01  5.48269e-01
-2.59544e+00  9.89334e-01  5.43522e-01
-2.50227e+00  9.89063e-01  5.37771e-01
-2.40909e+00  9.88785e-01  5.30982e-01
-2.31592e+00  9.88501e-01  5.23115e-01
-2.22275e+00  9.88209e-01  5.14121e-01
-2.12957e+00  9.87910e-01  5.03939e-01
-2.03640e+00  9.87603e-01  4.92496e-01
-1.94322e+00  9.87289e-01  4.79702e-01
-1.85005e+00  9.86967e-01  4.65445e-01
-1.75687e+00  9.86636e-01  4.49586e-01
-1.66370e+00  9.86298e-01  4.31948e-01
-1.57052e+00  9.85951e-01  4.12303e-01
-1.47735e+00  9.85596e-01  3.90350e-01
-1.38417e+00  9.85231e-01  3.65670e-01
-1.29100e+00  9.84858e-01  3.37669e-01
-1.19782e+00  9.84475e-01  3.05433e-01
-1.10465e+00  9.84082e-01  2.67436e-01
-1.01147e+00  9.83680e-01  2.20721e-01
-9.18300e-01  9.83268e-01  1.57725e-01
-8.25125e-01  9.82846e-01  0.00000e+00
 4.49742e+00  9.30854e-01  0.00000e+00
 4.87271e+00  9.23985e-01  1.17475e-01
 5.24801e+00  9.16494e-01  1.64395e-01
 5.62330e+00  9.08339e-01  1.99189e-01
 5.99860e+00  8.99474e-01  2.27490e-01
 6.37389e+00  8.89856e-01  2.51499e-01
 6.74919e+00  8.79441e-01  2.72355e-01
 7.12449e+00  8.68187e-01  2.90736e-01
 7.49978e+00  8.56055e-01  3.07088e-01
 7.87508e+00  8.43008e-01  3.21719e-01
 8.25037e+00  8.29014e-01  3.34856e-01
 8.62567e+00  8.14048e-01  3.46668e-01
 9.00097e+00  7.98092e-01  3.57287e-01
 9.37626e+00  7.81134e-01  3.66816e-01
 9.75156e+00  7.63175e-01  3.75339e-01
 1.01269e+01  7.44224e-01  3.82922e-01
 1.05021e+01  7.24305e-01  3.89621e-01
 1.08774e+01  7.03453e-01  3.95480e-01
 1.12527e+01  6.81716e-01  4.00537e-01
 1.12671e+01  6.80867e-01  4.00715e-01
 1.16280e+01  6.59159e-01  4.28493e-01
 1.17864e+01  6.49415e-01  4.34705e-01
 1.20033e+01  6.35856e-01  4.41911e-01
 1.23056e+01  6.16608e-01  4.50281e-01
 1.23786e+01  6.11899e-01  4.52078e-01
 1.27539e+01  5.87388e-01  4.60210e-01
 1.28248e+01  5.82704e-01  4.61562e-01
 1.31292e+01  5.62436e-01  4.66779e-01
 1.33441e+01  5.48000e-01  4.69935e-01
 1.35045e+01  5.37164e-01  4.72028e-01
 1.38633e+01  5.12823e-01  4.75945e-01
 1.38798e+01  5.11700e-01  4.76101e-01
 1.42551e+01  4.86175e-01  4.79090e-01
 1.43825e+01  4.77518e-01  4.79869e-01
 1.45488e+01  4.66244e-01  4.80712e-01
 1.46304e+01  4.60722e-01  5.28988e-01
 1.49018e+01  4.42436e-01  5.81065e-01
 1.50057e+01  4.35472e-01  5.94694e-01
 1.51289e+01  4.27248e-01  6.08809e-01
 1.53810e+01  4.10552e-01  6.33074e-01
 1.54210e+01  4.07920e-01  6.36495e-01
 1.57090e+01  3.89136e-01  6.58548e-01
 1.57563e+01  3.86083e-01  6.61797e-01
 1.59402e+01  3.74288e-01  6.73615e-01
 1.61316e+01  3.62176e-01  6.84673e-01
 1.62891e+01  3.52332e-01  6.92952e-01
 1.64595e+01  3.41829e-01  7.01151e-01
 1.65069e+01  3.38933e-01  7.03304e-01
 1.68693e+01  3.17201e-01  7.18065e-01
 1.68822e+01  3.16441e-01  7.18539e-01
 1.69787e+01  3.10786e-01  7.21975e-01
 1.72575e+01  2.94776e-01  7.30880e-01
 1.74494e+01  2.84037e-01  7.36180e-01
 1.74979e+01  2.81358e-01  7.37418e-01
 1.76328e+01  2.74000e-01  7.40643e-01
 1.80081e+01  2.54160e-01  7.48030e-01
 1.80172e+01  2.53690e-01  7.48181e-01
 1.80295e+01  2.53055e-01  7.48383e-01
 1.83834e+01  2.35291e-01  7.53163e-01
 1.85364e+01  2.27880e-01  7.54625e-01
 1.86096e+01  2.24394e-01  7.55197e-01
 1.87587e+01  2.17415e-01  7.56104e-01
 1.90557e+01  2.03979e-01  7.56886e-01
 1.91340e+01  2.00541e-01  7.56864e-01
 1.91898e+01  1.98118e-01  7.56789e-01
 1.95092e+01  1.84667e-01  7.55403e-01
 1.95749e+01  1.81993e-01  7.54913e-01
