        eigs         occs          dos      l_degen     k_int_wt 
-6.03852e+00  9.99955e-01  0.00000e+00  2.00000e+00  1.42718e-01
-5.75309e+00  9.99952e-01  2.57430e-02  2.00000e+00  2.85437e-01
-5.46765e+00  9.99948e-01  3.60248e-02  2.00000e+00  2.85437e-01
-5.18221e+00  9.99943e-01  4.36493e-02  2.00000e+00  2.85437e-01
-4.89678e+00  9.99939e-01  4.98511e-02  2.00000e+00  2.85437e-01
-4.61134e+00  9.99934e-01  5.51124e-02  2.00000e+00  2.85437e-01
-4.32590e+00  9.99929e-01  5.96826e-02  2.00000e+00  2.85437e-01
-4.04047e+00  9.99923e-01  6.37106e-02  2.00000e+00  2.85437e-01
-3.75503e+00  9.99916e-01  6.72938e-02  2.00000e+00  2.85437e-01
-3.46959e+00  9.99910e-01  7.05000e-02  2.00000e+00  2.85437e-01
-3.18416e+00  9.99902e-01  7.33788e-02  2.00000e+00  2.85437e-01
-2.89872e+00  9.99895e-01  7.59672e-02  2.00000e+00  2.85437e-01
-2.61328e+00  9.99886e-01  7.82942e-02  2.00000e+00  2.85437e-01
-2.32785e+00  9.99877e-01  8.03824e-02  2.00000e+00  2.85437e-01
-2.04241e+00  9.99867e-01  8.22501e-02  2.00000e+00  2.85437e-01
-1.75697e+00  9.99856e-01  8.39118e-02  2.00000e+00  2.85437e-01
-1.47154e+00  9.99845e-01  8.53798e-02  2.00000e+00  2.85437e-01
-1.18610e+00  9.99832e-01  8.66638e-02  2.00000e+00  2.85437e-01
-9.00664e-01  9.99818e-01  8.77719e-02  2.00000e+00  2.85437e-01
-6.15227e-01  9.99804e-01  8.87106e-02  2.00000e+00  2.85437e-01
-3.29791e-01  9.99788e-01  8.94854e-02  2.00000e+00  2.85437e-01
-4.43540e-02  9.99771e-01  9.01004e-02  2.00000e+00  2.85437e-01
 2.41083e-01  9.99752e-01  9.05590e-02  2.00000e+00  2.85437e-01
 5.26519e-01  9.99732e-01  9.08634e-02  2.00000e+00  2.85437e-01
 8.11956e-01  9.99711e-01  9.10152e-02  2.00000e+00  2.85437e-01
 1.09739e+00  9.99687e-01  9.10152e-02  2.00000e+00  2.85437e-01
 1.38283e+00  9.99662e-01  9.08634e-02  2.00000e+00  2.85437e-01
 1.66827e+00  9.99635e-01  9.05590e-02  2.00000e+00  2.85437e-01
 1.95370e+00  9.99605e-01  9.01004e-02  2.00000e+00  2.85437e-01
