     r (a_0)         v_en         v_ha         v_xc
 6.14421e-06 -9.76529e+05  2.58939e+01  0.00000e+00
 6.17862e-06 -9.71091e+05  2.58939e+01 -1.96933e-01
 6.21321e-06 -9.65684e+05  2.58939e+01 -2.98818e-01
 6.24800e-06 -9.60307e+05  2.58939e+01 -3.82002e-01
 6.28299e-06 -9.54960e+05  2.58939e+01 -4.55042e-01
 6.31817e-06 -9.49642e+05  2.58939e+01 -5.21357e-01
 6.35355e-06 -9.44355e+05  2.58939e+01 -5.82743e-01
 6.38912e-06 -9.39096e+05  2.58939e+01 -6.40288e-01
 6.42490e-06 -9.33867e+05  2.58939e+01 -6.94715e-01
 6.46087e-06 -9.28667e+05  2.58939e+01 -7.46536e-01
 6.49705e-06 -9.23496e+05  2.58939e+01 -7.96126e-01
 6.53343e-06 -9.18354e+05  2.58939e+01 -8.43774e-01
 6.57001e-06 -9.13241e+05  2.58939e+01 -8.89709e-01
 6.60680e-06 -9.08156e+05  2.58939e+01 -9.34113e-01
 6.64379e-06 -9.03099e+05  2.58939e+01 -9.77136e-01
 6.68099e-06 -8.98070e+05  2.58939e+01 -1.01890e+00
 6.71840e-06 -8.93070e+05  2.58939e+01 -1.05952e+00
 6.75602e-06 -8.88097e+05  2.58939e+01 -1.09908e+00
 6.79385e-06 -8.83152e+05  2.58939e+01 -1.13766e+00
 6.83189e-06 -8.78234e+05  2.58939e+01 -1.17532e+00
 6.87014e-06 -8.73344e+05  2.58939e+01 -1.21213e+00
 6.90861e-06 -8.68481e+05  2.58939e+01 -1.24814e+00
 6.94730e-06 -8.63645e+05  2.58939e+01 -1.28340e+00
 6.98620e-06 -8.58836e+05  2.58939e+01 -1.31795e+00
 7.02531e-06 -8.54054e+05  2.58939e+01 -1.35182e+00
 7.06465e-06 -8.49299e+05  2.58939e+01 -1.38505e+00
 7.10421e-06 -8.44570e+05  2.58939e+01 -1.41768e+00
 7.14399e-06 -8.39867e+05  2.58939e+01 -1.44973e+00
 7.18399e-06 -8.35190e+05  2.58939e+01 -1.48122e+00
 7.22422e-06 -8.30540e+05  2.58939e+01 -1.51218e+00
 7.26467e-06 -8.25915e+05  2.58939e+01 -1.54264e+00
 7.30534e-06 -8.21317e+05  2.58939e+01 -1.57260e+00
 7.34625e-06 -8.16743e+05  2.58939e+01 -1.60210e+00
 7.38738e-06 -8.12196e+05  2.58939e+01 -1.63115e+00
 7.42875e-06 -8.07673e+05  2.58939e+01 -1.65977e+00
 7.47034e-06 -8.03176e+05  2.58939e+01 -1.68796e+00
 7.51217e-06 -7.98704e+05  2.58939e+01 -1.71575e+00
 7.55424e-06 -7.94256e+05  2.58939e+01 -1.74315e+00
 7.59654e-06 -7.89834e+05  2.58939e+01 -1.77017e+00
 7.63907e-06 -7.85436e+05  2.58939e+01 -1.79682e+00
 7.68184e-06 -7.81062e+05  2.58939e+01 -1.82311e+00
 7.72486e-06 -7.76713e+05  2.58939e+01 -1.84906e+00
 7.76811e-06 -7.72388e+05  2.58939e+01 -1.87468e+00
 7.81161e-06 -7.68088e+05  2.58939e+01 -1.89996e+00
 7.85535e-06 -7.63811e+05  2.58939e+01 -1.92493e+00
 7.89933e-06 -7.59558e+05  2.58939e+01 -1.94959e+00
 7.94356e-06 -7.55328e+05  2.58939e+01 -1.97395e+00
 7.98804e-06 -7.51123e+05  2.58939e+01 -1.99802e+00
 8.03277e-06 -7.46940e+05  2.58939e+01 -2.02180e+00
 8.07775e-06 -7.42781e+05  2.58939e+01 -2.04530e+00
 8.12298e-06 -7.38645e+05  2.58939e+01 -2.06853e+00
 8.16846e-06 -7.34532e+05  2.58939e+01 -2.09150e+00
 8.21420e-06 -7.30442e+05  2.58939e+01 -2.11420e+00
 8.26019e-06 -7.26375e+05  2.58939e+01 -2.13665e+00
 8.30645e-06 -7.22331e+05  2.58939e+01 -2.15885e+00
 8.35296e-06 -7.18308e+05  2.58939e+01 -2.18081e+00
 8.39973e-06 -7.14309e+05  2.58939e+01 -2.20253e+00
 8.44676e-06 -7.10331e+05  2.58939e+01 -2.22402e+00
 8.49406e-06 -7.06376e+05  2.58939e+01 -2.24528e+00
 8.54162e-06 -7.02443e+05  2.58939e+01 -2.26632e+00
 8.58945e-06 -6.98532e+05  2.58939e+01 -2.28714e+00
 8.63754e-06 -6.94642e+05  2.58939e+01 -2.30774e+00
 8.68591e-06 -6.90774e+05  2.58939e+01 -2.32813e+00
 8.73454e-06 -6.86928e+05  2.58939e+01 -2.34832e+00
 8.78345e-06 -6.83103e+05  2.58939e+01 -2.36830e+00
 8.83263e-06 -6.79299e+05  2.58939e+01 -2.38808e+00
 8.88209e-06 -6.75517e+05  2.58939e+01 -2.40767e+00
 8.93182e-06 -6.71755e+05  2.58939e+01 -2.42707e+00
 8.98183e-06 -6.68015e+05  2.58939e+01 -2.44628e+00
 9.03213e-06 -6.64295e+05  2.58939e+01 -2.46530e+00
 9.08270e-06 -6.60596e+05  2.58939e+01 -2.48414e+00
 9.13356e-06 -6.56918e+05  2.58939e+01 -2.50280e+00
 9.18470e-06 -6.53260e+05  2.58939e+01 -2.52128e+00
 9.23613e-06 -6.49623e+05  2.58939e+01 -2.53959e+00
 9.28784e-06 -6.46006e+05  2.58939e+01 -2.55773e+00
