        eigs         occs          dos      l_degen     k_int_wt 
-1.27174e+01  5.81067e-01  1.00000e+00  2.00000e+00  1.00000e+00
-1.14203e+00  5.61110e-02  1.00000e+00  2.00000e+00  1.00000e+00
-9.02018e-01  5.27506e-02  1.00000e+00  6.00000e+00  1.00000e+00
 7.18699e-01  3.45894e-02  1.00000e+00  1.00000e+01  1.00000e+00
 8.48310e-01  3.34308e-02  1.00000e+00  6.00000e+00  1.00000e+00
 8.53279e-01  3.33871e-02  1.00000e+00  2.00000e+00  1.00000e+00
 1.70121e+00  2.66913e-02  1.00000e+00  1.40000e+01  1.00000e+00
 2.61025e+00  2.09648e-02  1.00000e+00  1.00000e+01  1.00000e+00
 2.68896e+00  2.05296e-02  1.00000e+00  1.80000e+01  1.00000e+00
 3.29387e+00  1.74683e-02  1.00000e+00  6.00000e+00  1.00000e+00
 3.60722e+00  1.60635e-02  1.00000e+00  2.00000e+00  1.00000e+00
 3.75755e+00  1.54296e-02  1.00000e+00  2.20000e+01  1.00000e+00
 4.20971e+00  1.36677e-02  1.00000e+00  1.40000e+01  1.00000e+00
 4.92618e+00  1.12740e-02  1.00000e+00  2.60000e+01  1.00000e+00
 5.62712e+00  9.33452e-03  1.00000e+00  1.00000e+01  1.00000e+00
 5.79633e+00  8.91821e-03  1.00000e+00  1.80000e+01  1.00000e+00
 6.20158e+00  7.99449e-03  1.00000e+00  3.00000e+01  1.00000e+00
 6.82533e+00  6.75493e-03  1.00000e+00  6.00000e+00  1.00000e+00
 7.44606e+00  5.71110e-03  1.00000e+00  2.20000e+01  1.00000e+00
 7.51636e+00  5.60350e-03  1.00000e+00  2.00000e+00  1.00000e+00
 7.58643e+00  5.49824e-03  1.00000e+00  3.40000e+01  1.00000e+00
 7.76970e+00  5.23217e-03  1.00000e+00  1.40000e+01  1.00000e+00
 9.08178e+00  3.66696e-03  1.00000e+00  3.80000e+01  1.00000e+00
 9.18755e+00  3.56330e-03  1.00000e+00  2.60000e+01  1.00000e+00
 9.68662e+00  3.11222e-03  1.00000e+00  1.00000e+01  1.00000e+00
 9.89850e+00  2.93837e-03  1.00000e+00  1.80000e+01  1.00000e+00
 1.06880e+01  2.37168e-03  1.00000e+00  4.20000e+01  1.00000e+00
 1.10332e+01  2.15945e-03  1.00000e+00  3.00000e+01  1.00000e+00
 1.13878e+01  1.96122e-03  1.00000e+00  6.00000e+00  1.00000e+00
 1.20860e+01  1.62245e-03  1.00000e+00  2.20000e+01  1.00000e+00
 1.23536e+01  1.50866e-03  1.00000e+00  1.40000e+01  1.00000e+00
 1.24049e+01  1.48776e-03  1.00000e+00  4.60000e+01  1.00000e+00
 1.24973e+01  1.45089e-03  1.00000e+00  2.00000e+00  1.00000e+00
 1.29891e+01  1.26937e-03  1.00000e+00  3.40000e+01  1.00000e+00
 1.42326e+01  9.05320e-04  1.00000e+00  5.00000e+01  1.00000e+00
 1.43623e+01  8.73936e-04  1.00000e+00  2.60000e+01  1.00000e+00
 1.47632e+01  7.83697e-04  1.00000e+00  1.00000e+01  1.00000e+00
 1.50048e+01  7.33867e-04  1.00000e+00  1.80000e+01  1.00000e+00
 1.50583e+01  7.23273e-04  1.00000e+00  3.80000e+01  1.00000e+00
 1.61705e+01  5.34490e-04  1.00000e+00  5.40000e+01  1.00000e+00
 1.67420e+01  4.57548e-04  1.00000e+00  3.00000e+01  1.00000e+00
 1.69630e+01  4.30853e-04  1.00000e+00  6.00000e+00  1.00000e+00
 1.72421e+01  3.99352e-04  1.00000e+00  4.20000e+01  1.00000e+00
 1.77122e+01  3.51424e-04  1.00000e+00  2.20000e+01  1.00000e+00
 1.79454e+01  3.29823e-04  1.00000e+00  1.40000e+01  1.00000e+00
 1.82185e+01  3.06203e-04  1.00000e+00  5.80000e+01  1.00000e+00
 1.85150e+01  2.82475e-04  1.00000e+00  2.00000e+00  1.00000e+00
 1.92324e+01  2.32394e-04  1.00000e+00  3.40000e+01  1.00000e+00
 1.95415e+01  2.13648e-04  1.00000e+00  4.60000e+01  1.00000e+00
 2.03763e+01  1.70245e-04  1.00000e+00  6.20000e+01  1.00000e+00
 2.05070e+01  1.64294e-04  1.00000e+00  2.60000e+01  1.00000e+00
 2.08446e+01  1.49876e-04  1.00000e+00  1.00000e+01  1.00000e+00
 2.11097e+01  1.39448e-04  1.00000e+00  1.80000e+01  1.00000e+00
 2.18376e+01  1.14392e-04  1.00000e+00  3.80000e+01  1.00000e+00
 2.19567e+01  1.10745e-04  1.00000e+00  5.00000e+01  1.00000e+00
 2.26434e+01  9.18720e-05  1.00000e+00  6.60000e+01  1.00000e+00
 2.34048e+01  7.46814e-05  1.00000e+00  3.00000e+01  1.00000e+00
 2.35406e+01  7.19714e-05  1.00000e+00  6.00000e+00  1.00000e+00
 2.43279e+01  5.80927e-05  1.00000e+00  2.20000e+01  1.00000e+00
