     r (a_0)         v_en         v_ha         v_xc
 6.14421e-06 -9.76529e+05  9.76340e+00 -1.44052e-01
 6.17123e-06 -9.72253e+05  9.76340e+00 -2.18017e-01
 6.19837e-06 -9.67997e+05  9.76340e+00 -2.78167e-01
 6.22563e-06 -9.63759e+05  9.76340e+00 -3.30879e-01
 6.25300e-06 -9.59539e+05  9.76340e+00 -3.78689e-01
 6.28050e-06 -9.55338e+05  9.76340e+00 -4.22922e-01
 6.30812e-06 -9.51155e+05  9.76340e+00 -4.64382e-01
 6.33586e-06 -9.46991e+05  9.76340e+00 -5.03598e-01
 6.36372e-06 -9.42845e+05  9.76340e+00 -5.40944e-01
 6.39170e-06 -9.38717e+05  9.76340e+00 -5.76695e-01
 6.41981e-06 -9.34607e+05  9.76340e+00 -6.11061e-01
 6.44804e-06 -9.30515e+05  9.76340e+00 -6.44208e-01
 6.47640e-06 -9.26441e+05  9.76340e+00 -6.76268e-01
 6.50488e-06 -9.22385e+05  9.76340e+00 -7.07350e-01
 6.53348e-06 -9.18347e+05  9.76340e+00 -7.37545e-01
 6.56221e-06 -9.14326e+05  9.76340e+00 -7.66929e-01
 6.59107e-06 -9.10323e+05  9.76340e+00 -7.95567e-01
 6.62005e-06 -9.06337e+05  9.76340e+00 -8.23516e-01
 6.64916e-06 -9.02369e+05  9.76340e+00 -8.50823e-01
 6.67840e-06 -8.98418e+05  9.76340e+00 -8.77533e-01
 6.70777e-06 -8.94485e+05  9.76340e+00 -9.03683e-01
 6.73727e-06 -8.90569e+05  9.76340e+00 -9.29306e-01
 6.76689e-06 -8.86670e+05  9.76340e+00 -9.54434e-01
 6.79665e-06 -8.82788e+05  9.76340e+00 -9.79091e-01
 6.82654e-06 -8.78923e+05  9.76340e+00 -1.00330e+00
 6.85656e-06 -8.75075e+05  9.76340e+00 -1.02709e+00
 6.88671e-06 -8.71243e+05  9.76340e+00 -1.05048e+00
 6.91699e-06 -8.67429e+05  9.76340e+00 -1.07349e+00
 6.94741e-06 -8.63631e+05  9.76340e+00 -1.09612e+00
 6.97796e-06 -8.59850e+05  9.76340e+00 -1.11841e+00
 7.00865e-06 -8.56085e+05  9.76340e+00 -1.14036e+00
 7.03947e-06 -8.52337e+05  9.76340e+00 -1.16198e+00
 7.07042e-06 -8.48606e+05  9.76340e+00 -1.18330e+00
 7.10151e-06 -8.44890e+05  9.76340e+00 -1.20431e+00
 7.13274e-06 -8.41191e+05  9.76340e+00 -1.22504e+00
 7.16411e-06 -8.37508e+05  9.76340e+00 -1.24548e+00
 7.19561e-06 -8.33841e+05  9.76340e+00 -1.26566e+00
 7.22726e-06 -8.30191e+05  9.76340e+00 -1.28557e+00
 7.25904e-06 -8.26556e+05  9.76340e+00 -1.30524e+00
 7.29096e-06 -8.22937e+05  9.76340e+00 -1.32465e+00
 7.32302e-06 -8.19334e+05  9.76340e+00 -1.34383e+00
 7.35522e-06 -8.15747e+05  9.76340e+00 -1.36278e+00
 7.38757e-06 -8.12175e+05  9.76340e+00 -1.38151e+00
 7.42005e-06 -8.08620e+05  9.76340e+00 -1.40002e+00
 7.45268e-06 -8.05079e+05  9.76340e+00 -1.41832e+00
 7.48545e-06 -8.01554e+05  9.76340e+00 -1.43641e+00
 7.51837e-06 -7.98045e+05  9.76340e+00 -1.45430e+00
 7.55143e-06 -7.94551e+05  9.76340e+00 -1.47199e+00
 7.58464e-06 -7.91072e+05  9.76340e+00 -1.48950e+00
 7.61799e-06 -7.87609e+05  9.76340e+00 -1.50682e+00
 7.65149e-06 -7.84161e+05  9.76340e+00 -1.52395e+00
 7.68514e-06 -7.80727e+05  9.76340e+00 -1.54091e+00
 7.71894e-06 -7.77309e+05  9.76340e+00 -1.55769e+00
 7.75288e-06 -7.73906e+05  9.76340e+00 -1.57431e+00
 7.78697e-06 -7.70518e+05  9.76340e+00 -1.59076e+00
 7.82121e-06 -7.67144e+05  9.76340e+00 -1.60705e+00
 7.85561e-06 -7.63786e+05  9.76340e+00 -1.62317e+00
 7.89015e-06 -7.60442e+05  9.76340e+00 -1.63915e+00
 7.92485e-06 -7.57112e+05  9.76340e+00 -1.65497e+00
 7.95970e-06 -7.53797e+05  9.76340e+00 -1.67064e+00
 7.99470e-06 -7.50497e+05  9.76340e+00 -1.68616e+00
 8.02986e-06 -7.47211e+05  9.76340e+00 -1.70154e+00
 8.06517e-06 -7.43940e+05  9.76340e+00 -1.71678e+00
 8.10063e-06 -7.40683e+05  9.76340e+00 -1.73188e+00
 8.13626e-06 -7.37440e+05  9.76340e+00 -1.74685e+00
 8.17203e-06 -7.34211e+05  9.76340e+00 -1.76168e+00
 8.20797e-06 -7.30997e+05  9.76340e+00 -1.77638e+00
 8.24406e-06 -7.27796e+05  9.76340e+00 -1.79095e+00
 8.28032e-06 -7.24610e+05  9.76340e+00 -1.80540e+00
 8.31673e-06 -7.21437e+05  9.76340e+00 -1.81972e+00
 8.35330e-06 -7.18279e+05  9.76340e+00 -1.83392e+00
 8.39004e-06 -7.15134e+05  9.76340e+00 -1.84800e+00
 8.42693e-06 -7.12003e+05  9.76340e+00 -1.86196e+00
 8.46399e-06 -7.08886e+05  9.76340e+00 -1.87580e+00
 8.50121e-06 -7.05782e+05  9.76340e+00 -1.88953e+00
 8.53859e-06 -7.02692e+05  9.76340e+00 -1.90315e+00
 8.57614e-06 -6.99616e+05  9.76340e+00 -1.91665e+00
 8.61385e-06 -6.96553e+05  9.76340e+00 -1.93005e+00
 8.65173e-06 -6.93503e+05  9.76340e+00 -1.94334e+00
 8.68978e-06 -6.90467e+05  9.76340e+00 -1.95652e+00
 8.72799e-06 -6.87444e+05  9.76340e+00 -1.96960e+00
 8.76637e-06 -6.84434e+05  9.76340e+00 -1.98257e+00
 8.80492e-06 -6.81437e+05  9.76340e+00 -1.99545e+00
 8.84364e-06 -6.78454e+05  9.76340e+00 -2.00822e+00
 8.88253e-06 -6.75483e+05  9.76340e+00 -2.02090e+00
 8.92159e-06 -6.72526e+05  9.76340e+00 -2.03348e+00
 8.96082e-06 -6.69582e+05  9.76340e+00 -2.04596e+00
 9.00023e-06 -6.66650e+05  9.76340e+00 -2.05834e+00
 9.03980e-06 -6.63731e+05  9.76340e+00 -2.07064e+00
 9.07956e-06 -6.60825e+05  9.76340e+00 -2.08284e+00
 9.11948e-06 -6.57932e+05  9.76340e+00 -2.09495e+00
 9.15958e-06 -6.55052e+05  9.76340e+00 -2.10697e+00
 9.19986e-06 -6.52184e+05  9.76340e+00 -2.11890e+00
 9.24032e-06 -6.49328e+05  9.76340e+00 -2.13075e+00
 9.28095e-06 -6.46485e+05  9.76340e+00 -2.14250e+00
 9.32177e-06 -6.43655e+05  9.76340e+00 -2.15418e+00
 9.36276e-06 -6.40837e+05  9.76340e+00 -2.16577e+00
 9.40393e-06 -6.38031e+05  9.76340e+00 -2.17727e+00
 9.44528e-06 -6.35238e+05  9.76340e+00 -2.18869e+00
